Quality,Buf3060,Buf120,Buf240
2114.1,null,null,0.217145
2116.7,0.383863,null,null
2118.76,null,0.469113,null
2123.79,0.430497,null,null
2126.38,0.52918,null,null
2129.93,null,null,0.231795
2134.87,0.211896,null,null
2136.97,null,null,0.317472
2139.13,null,0.434902,null
2141.92,null,null,0.20894
2147.87,null,0.238771,null
2149.32,null,0.686243,null
2149.96,0.426034,null,null
2150.94,null,null,0.331318
2154.28,null,null,0.219575
2162.29,0.210101,null,null
2171.93,null,0.497175,null
2175.37,null,0.188492,null
2180.25,null,null,0.207842
2189.01,null,null,0.51853
2189.86,null,0.381902,null
2208.05,0.319069,null,null
2222.81,null,0.212664,null
2228.36,null,0.355483,null
2228.46,0.173472,null,null
2232.11,null,null,0.297029
2233.55,null,0.591676,null
2234,0.649783,null,null
2238.26,0.321013,null,null
2240.99,null,null,0.260757
2248.33,null,null,0.316141
2249.3,null,0.222806,null
2249.66,0.166386,null,null
2250.66,null,0.312422,null
2255.47,0.224719,null,null
2255.8,0.195916,null,null
2256,0.306991,null,null
2257.18,0.292286,null,null
2258.9,null,0.502261,null
2260.44,null,0.457103,null
2261.42,null,0.690591,null
2267.91,0.605988,null,null
2270.34,null,0.508621,null
2273.05,0.15791,null,null
2278.91,0.454981,null,null
2279.77,null,null,0.884837
2280.69,null,0.166548,null
2281.94,null,null,0.318284
2282.76,null,null,0.274942
2288.35,null,0.266467,null
2288.68,null,null,0.435951
2289.26,null,0.344636,null
2289.36,null,null,0.511806
2303.02,0.41064,null,null
2303.46,null,null,0.405953
2311.05,0.516921,null,null
2312.13,0.397637,null,null
2315.43,null,null,0.521989
2320.93,null,0.47164,null
2321.32,0.634679,null,null
2339,null,null,0.578256
2347.79,null,0.463668,null
2349.79,null,0.244402,null
2360.43,0.44954,null,null
2364.49,null,null,0.438936
2372.34,0.253866,null,null
2381.39,null,null,0.388445
2385.06,0.410778,null,null
2385.68,null,0.237335,null
2391.34,null,0.497764,null
2392.87,null,null,0.407298
2398.65,null,0.490727,null
2399.4,null,null,0.436513
2401.34,null,null,0.370432
2403.41,null,null,0.670776
2404.17,null,null,0.544079
2408.26,null,null,0.587543
2408.78,null,null,0.712582
2411.15,0.265717,null,null
2419.91,null,null,0.58574
2422.3,0.322091,null,null
2425.53,null,null,0.332872
2429.11,null,null,0.39511
2429.59,null,0.283264,null
2434.86,null,null,0.736541
2438.13,null,0.337699,null
2440.01,null,null,0.766419
2440.94,null,null,0.351336
2444.78,null,null,0.305441
2448.09,null,null,0.363865
2449.09,0.175111,null,null
2450.87,null,0.267917,null
2452.05,null,null,0.400933
2455.89,0.359844,null,null
2459.21,0.755528,null,null
2463.15,0.306518,null,null
2465.94,null,null,0.606063
2474.56,null,null,0.324988
2481.37,0.176833,null,null
2481.38,0.452307,null,null
2483.1,0.50216,null,null
2489.41,null,0.255322,null
2493.17,null,0.391475,null
2500.5,null,0.413302,null
2500.74,0.593554,null,null
2506.9,0.332952,null,null
2506.91,null,null,0.817276
2507.74,0.571773,null,null
2507.93,null,0.568625,null
2510.86,0.27022,null,null
2519.51,null,0.396732,null
2521.67,0.50617,null,null
2521.99,0.2148,null,null
2523.29,null,null,0.380451
2530.78,null,0.295404,null
2534.44,null,null,0.300222
2541.08,0.521242,null,null
2544.05,0.306716,null,null
2544.31,0.437031,null,null
2546.18,null,0.316823,null
2547.2,0.31586,null,null
2552.5,0.389495,null,null
2552.72,null,0.296587,null
2556.4,null,null,0.503344
2562.44,null,0.421295,null
2570.98,0.194297,null,null
2571.95,null,0.287041,null
2580.9,0.339005,null,null
2584.81,null,0.365083,null
2585.79,null,null,0.282319
2586.9,null,0.289507,null
2591.72,null,null,0.291622
2593.83,null,0.489459,null
2597.04,null,0.478903,null
2597.4,0.299426,null,null
2601.9,null,0.356724,null
2607.95,0.251214,null,null
2612.68,null,0.472662,null
2613.46,null,0.350103,null
2614.59,0.426745,null,null
2615.35,0.425845,null,null
2616.02,0.270815,null,null
2616.11,0.424898,null,null
2616.24,null,0.68492,null
2617,0.247481,null,null
2617.77,0.309704,null,null
2618.51,null,null,0.232073
