Quality,Buf3060,Buf120,Buf240
2738.78,,,0.31289
2740.1,0.491579,,
2743.98,,,0.578982
2746.07,,,0.324309
2747.05,,0.528655,
2747.67,,0.34009,
2750.59,0.772308,,
2761.88,0.268417,,
2763.5,,0.257151,
2764.29,0.284639,,
2777.72,,0.642563,
2784.58,0.243828,,
2793.21,,0.597177,
2796.31,,0.593955,
2798.21,,0.620689,
2799.21,,,0.26144
2803.61,0.279821,,
2807.77,,,0.64158
2815.81,,,0.447076
2821.56,,0.323659,
2824.87,,0.463958,
2833.07,0.416092,,
2838.82,,,0.657536
2839.11,0.39594,,
2839.56,,0.301034,
2841.29,,0.657239,
2841.9,0.231343,,
2851.4,,,0.276021
2851.94,,0.318423,
2852.69,,,0.280584
2860.07,,,0.788265
2863.15,,0.329281,
2864.85,,,0.273811
2867.26,,0.371532,
2868.67,0.21033,,
2872.65,,,0.294352
2877.59,,,0.653682
2877.72,,,0.663213
2878.11,,,0.616803
2878.43,,0.401456,
2879.81,,,0.303534
2887.92,0.325825,,
2888.49,0.376067,,
2889.23,,0.185174,
2897.22,,,0.335417
2899.89,0.310802,,
2901.4,,0.458184,
2908.49,,0.263672,
2909.5,,0.368381,
2913.18,0.784239,,
2922.55,,0.781067,
2923.41,0.222902,,
2936.49,0.432889,,
2940.34,,,0.482142
2947,0.417226,,
2949.34,,,0.295311
2951.95,0.452823,,
2955.05,0.719875,,
2958.21,0.756234,,
2958.7,0.465301,,
2970.65,0.22572,,
2972.11,,,0.428796
2972.17,0.318529,,
2985.53,0.294502,,
2986.71,,0.810363,
2988.24,0.527868,,
2993.37,,,0.430847
3002.6,0.18128,,
3003.37,0.536928,,
3005.12,,0.435842,
3007.48,,,0.317486
3011.09,,,0.508967
3018.17,,0.295239,
3020.02,,0.335798,
3021.85,,,0.505597
3025.84,,,0.37807
3033.35,0.258132,,
3034.45,0.266231,,
3041.7,,0.257126,
3045.99,0.256921,,
3051.55,,,0.226956
3058.93,,0.703239,
3061.13,,0.388928,
3067.45,,,0.437248
3068.11,0.37266,,
3074.32,,0.187121,
3074.59,,0.233071,
3076.22,,0.38268,
3078.48,,,0.384275
3080.28,,,0.438686
3081.85,,0.413798,
3084.66,,0.252689,
3087.38,0.322968,,
3092.23,0.430836,,
3093.53,,,0.351072
3096.87,,0.33992,
3116.67,,0.368965,
3125.99,,0.337545,
3141.46,0.19951,,
3144.14,,0.267871,
3146.12,,0.406277,
3149.2,,,0.274957
3154.8,,,0.298359
3157.26,,,0.402205
3158.36,,0.346179,
3162.33,,0.373551,
3166.05,0.358399,,
3168.47,0.312958,,
3168.91,0.318894,,
3170.64,0.331041,,
3171.93,,,0.300067
3173.66,0.293453,,
3174.61,,0.349583,
3177.5,0.262131,,
3179.84,,0.3468,
3181.64,,0.205866,
3184.68,,0.453744,
3187.36,0.592498,,
3189.02,0.300091,,
3192.38,,,0.415714
3192.47,0.418031,,
3205.58,0.323687,,
3214.74,0.327697,,
3217.75,0.242579,,
3218.4,,0.177101,
3219.3,0.346262,,
3220.05,,,0.506683
3221.38,,,0.394264
3223.72,0.17187,,
3225.47,,,0.348515
3226.48,,0.26677,
3226.88,,0.272138,
3236.61,,0.276622,
3245.98,,,0.281371
3246.32,,0.288348,
3246.43,,0.313325,
3253.42,0.228056,,
3253.84,0.353383,,
3255.34,,,0.426148
3261.66,,0.211326,
3279.87,,0.268117,
3281.54,0.216558,,
3283.64,0.160656,,
3283.65,0.166552,,
3285.35,0.267316,,
3290.35,0.221376,,
3291.43,,,0.423818
3296.96,,,0.468569
3301.85,,0.375419,
3310.43,,,0.485556
3313.86,0.29512,,
3331.42,,0.461289,
3333.98,,,0.475579
3334.56,0.623529,,
3336.04,,0.259675,
3342.03,0.156348,,
3344.53,,,0.361288
3353.75,0.387939,,
3364.59,,0.209671,
3371.28,,,0.36253
3385.35,0.206088,,
3385.94,0.319112,,
3390.23,,,0.457818
3390.57,,,0.354004
3391.49,0.269537,,
3395.04,,0.359316,
3408.96,,0.700798,
3412.48,,,0.340494
3416.56,,,0.425266
3417.9,0.236847,,
3418.33,0.25816,,
3422.74,0.204429,,
3423.62,,,0.30133
3431.39,,,0.419392
3439,0.214923,,
3447.1,,,0.389372
3451.14,,0.405046,
3461.39,0.182344,,
3485.12,,0.336862,
3486.88,,0.310219,
3501.96,,0.322749,
3551.22,,0.291898,
3564.22,,,0.507704
3601.95,,0.336536,
3682.03,,0.553767,
3915.88,0.820064,,
3934.77,,,0.779479
4101.19,,,0.820731
4115.37,0.821579,,
4207.68,,,0.705466
4393.63,,0.802095,
